Title,IMDb Rating (Static),IMDb Rating (Live),Rating Difference,CheckedAt
The Shawshank Redemption,9.3,9.3,0.0,2025-09-25 09:25:09
Hababam Sinifi,9.2,,,2025-09-25 09:25:09
The Godfather,9.2,9.2,0.0,2025-09-25 09:25:09
The Dark Knight,9.1,9.1,0.0,2025-09-25 09:25:09
The Godfather Part II,9.0,9.0,0.0,2025-09-25 09:25:09
The Lord of the Rings: The Return of the King,9.0,9.0,0.0,2025-09-25 09:25:09
Schindler's List,9.0,9.0,0.0,2025-09-25 09:25:09
12 Angry Men,9.0,9.0,0.0,2025-09-25 09:25:09
The Lord of the Rings: The Fellowship of the Ring,8.9,8.9,0.0,2025-09-25 09:25:09
Tosun Pasa,8.9,8.9,0.0,2025-09-25 09:25:09
Fight Club,8.8,8.8,0.0,2025-09-25 09:25:09
SÃ¼t Kardesler,8.8,,,2025-09-25 09:25:09
The Lord of the Rings: The Two Towers,8.8,8.8,0.0,2025-09-25 09:25:09
Forrest Gump,8.8,8.8,0.0,2025-09-25 09:25:09
Pulp Fiction,8.8,8.8,0.0,2025-09-25 09:25:09
Maratonci trce pocasni krug,8.8,8.8,0.0,2025-09-25 09:25:09
Inception,8.8,8.8,0.0,2025-09-25 09:25:09
"Il buono, il brutto, il cattivo",8.8,,,2025-09-25 09:25:09
Saban Oglu Saban,8.7,,,2025-09-25 09:25:09
Ko to tamo peva,8.7,,,2025-09-25 09:25:09
Neseli GÃ¼nler,8.7,,,2025-09-25 09:25:09
One Flew Over the Cuckoo's Nest,8.7,8.7,0.0,2025-09-25 09:25:09
Interstellar,8.7,8.7,0.0,2025-09-25 09:25:09
Star Wars: Episode V - The Empire Strikes Back,8.7,8.7,0.0,2025-09-25 09:25:09
Balkanski spijun,8.7,,,2025-09-25 09:25:09
GoodFellas,8.7,8.7,0.0,2025-09-25 09:25:09
The Matrix,8.7,8.7,0.0,2025-09-25 09:25:09
Hababam Sinifi: Uyaniyor,8.7,,,2025-09-25 09:25:09
Kibar Feyzo,8.6,,,2025-09-25 09:25:09
ZÃ¼gÃ¼rt Aga,8.6,,,2025-09-25 09:25:09
It's a Wonderful Life,8.6,8.6,0.0,2025-09-25 09:25:09
La vita Ã¨ bella,8.6,,,2025-09-25 09:25:09
Cidade de Deus,8.6,,,2025-09-25 09:25:09
Terminator 2: Judgment Day,8.6,8.6,0.0,2025-09-25 09:25:09
Shichinin no samurai,8.6,,,2025-09-25 09:25:09
The Green Mile,8.6,8.6,0.0,2025-09-25 09:25:09
Saving Private Ryan,8.6,8.6,0.0,2025-09-25 09:25:09
Canim Kardesim,8.6,,,2025-09-25 09:25:09
Hababam Sinifi: Tatilde,8.6,,,2025-09-25 09:25:09
Se7en,8.6,8.6,0.0,2025-09-25 09:25:09
The Silence of the Lambs,8.6,8.6,0.0,2025-09-25 09:25:09
Seppuku,8.6,7.3,-1.2999999999999998,2025-09-25 09:25:09
Nayakan,8.6,8.7,0.09999999999999964,2025-09-25 09:25:09
O Auto da Compadecida,8.6,8.2,-0.40000000000000036,2025-09-25 09:25:09
Sen to Chihiro no kamikakushi,8.6,,,2025-09-25 09:25:09
Star Wars,8.6,8.6,0.0,2025-09-25 09:25:09
Hababam Sinifi: Sinifta Kaldi,8.6,,,2025-09-25 09:25:09
Anbe Sivam,8.6,8.6,0.0,2025-09-25 09:25:09
Pink Floyd: Live at Pompeii,8.6,8.6,0.0,2025-09-25 09:25:09
Lepa sela lepo gore,8.6,,,2025-09-25 09:25:09
